,iso,year,gdpPerc
501,BEL,1960,0.7220694597
502,BEN,1960,0.0171367865
503,BFA,1960,0.02155595834
504,BGD,1960,0.4279622426
505,BGR,1960,0.2763975692
506,BHR,1960,0.02545459783
507,BIH,1960,0.05005524344
508,BLR,1960,0.1261886507
509,BOL,1960,0.06442585456
510,BRA,1960,2.192354255
511,BRB,1960,0.00685106235
512,BWA,1960,0.00310234886
513,CAF,1960,0.01583926627
514,CAN,1960,1.877676875
515,CHE,1960,1.082036233
516,CHL,1960,0.3114139165
517,CHN,1960,3.904572908
518,CIV,1960,0.07468783909
519,CMR,1960,0.07220540731
520,COD,1960,0.2378114964
521,COG,1960,0.02257651873
522,COL,1960,0.4386439093
523,COM,1960,0.001161373301
524,CPV,1960,0.002270643045
525,CRI,1960,0.03636872759
526,CSK,1960,0.9080489981
527,CUB,1960,0.2127311046
528,CYP,1960,0.01688911407
529,CZE,1960,0.1492387814
530,DEU,1960,7.833355814
531,DJI,1960,0.002903308271
532,DMA,1960,0.0007915519146
533,DNK,1960,0.503614303
534,DOM,1960,0.06793090199
535,DZA,1960,0.5768763671
536,ECU,1960,0.1293639126
537,EGY,1960,0.4926828878
538,ESP,1960,1.268013119
539,EST,1960,0.01870891969
540,ETH,1960,0.1050863003
541,FIN,1960,0.310270367
542,FRA,1960,3.936424332
543,GAB,1960,0.03225908726
544,GBR,1960,4.913527014
545,GEO,1960,0.03645375693
546,GHA,1960,0.1045964338
547,GIN,1960,0.01863661767
548,GMB,1960,0.003336183017
549,GNB,1960,0.003688611092
550,GNQ,1960,0.002090641362
551,GRC,1960,0.3499145781
552,GTM,1960,0.09531118264
553,HKG,1960,0.09057783412
554,HND,1960,0.03434479878
555,HRV,1960,0.1947087729
556,HTI,1960,0.06448276298
557,HUN,1960,0.6155214339
558,IDN,1960,1.183347449
559,IND,1960,3.01947893
560,IRL,1960,0.1702886464
561,IRN,1960,0.898152044
562,IRQ,1960,0.9062944885
563,ISL,1960,0.01235609761
564,ISR,1960,0.1031396172
565,ITA,1960,3.806826981
566,JAM,1960,0.05851685008
567,JOR,1960,0.02826052804
568,JPN,1960,4.098288617
569,KAZ,1960,0.08774569608
570,KEN,1960,0.09452819198
571,KGZ,1960,0.01908394171
572,KHM,1960,0.02628075255
573,KOR,1960,0.2909977026
574,KWT,1960,0.3861180479
575,LAO,1960,0.01441312579
576,LBN,1960,0.1453022826
577,LBR,1960,0.00858528316
578,LBY,1960,0.05902140194
579,LCA,1960,0.001602712098
580,LKA,1960,0.1295386234
581,LSO,1960,0.002988170968
582,LTU,1960,0.04271689756
583,LUX,1960,0.03189472341
584,LVA,1960,0.03267495058
585,MAR,1960,0.1874393476
586,MDA,1960,0.04633199848
587,MDG,1960,0.08655736836
588,MEX,1960,1.506505878
589,MKD,1960,0.03752161601
590,MLI,1960,0.02212842396
591,MLT,1960,0.005489391697
592,MMR,1960,0.1052979015
593,MNE,1960,0.01911272226
594,MNG,1960,0.01643820721
595,MOZ,1960,0.02096007251
596,MRT,1960,0.01093570631
597,MUS,1960,0.01395780986
598,MWI,1960,0.01377404483
599,MYS,1960,0.166311834
600,NAM,1960,0.02053427313
601,NER,1960,0.03197870429
602,NGA,1960,0.6164796491
603,NIC,1960,0.04734404621
604,NLD,1960,1.18918695
605,NOR,1960,0.5396829074
606,NPL,1960,0.06619352886
607,NZL,1960,0.2566988417
608,OMN,1960,0.0216690114
609,PAK,1960,0.4432713565
610,PAN,1960,0.02716539514
611,PER,1960,0.3450522274
612,PHL,1960,0.5477170205
613,POL,1960,1.284718406
614,PRI,1960,0.1238752917
615,PRK,1960,0.05861639121
616,PRT,1960,0.3209552416
617,PRY,1960,0.03330079735
618,PSE,1960,0.009783706646
619,QAT,1960,0.1234250513
620,ROU,1960,0.3990572108
621,RUS,1960,7.452657803
622,RWA,1960,0.01515780256
623,SAU,1960,0.5844885716
624,SDN,1960,0.176384228
625,SEN,1960,0.04634099023
626,SGP,1960,0.04991000061
627,SLE,1960,0.01983068068
628,SLV,1960,0.06984731861
629,SRB,1960,0.3241632765
630,STP,1960,0.0006487184546
631,SVK,1960,0.06170390194
632,SVN,1960,0.07085708889
633,SWE,1960,0.7622781029
634,SWZ,1960,0.002918243606
635,SYC,1960,0.001580895816
636,SYR,1960,0.07050311242
637,TCD,1960,0.02519847195
638,TGO,1960,0.0131526488
639,THA,1960,0.2873163475
640,TJK,1960,0.01829280641
641,TKM,1960,0.01393277182
642,TTO,1960,0.043007411
643,TUN,1960,0.06464587822
644,TUR,1960,0.7403929631
645,TWN,1960,0.1509761823
646,TZA,1960,0.09054562351
647,UGA,1960,0.05581853293
648,UKR,1960,0.6588135189
649,URY,1960,0.132014695
650,USA,1960,22.65336118
651,UZB,1960,0.07499083683
652,VEN,1960,0.7170863766
653,VNM,1960,0.2591459313
654,YEM,1960,0.06225864097
655,ZAF,1960,0.872658712
656,ZMB,1960,0.06513834849
657,ZWE,1960,0.04300059949
658,AFG,1980,0.08540448814
659,AGO,1980,0.08698321105
660,ALB,1980,0.03008185956
661,ARE,1980,0.6421208234
662,ARG,1980,1.101261905
663,ARM,1980,0.04091264612
664,AUS,1980,1.030650194
665,AUT,1980,0.4849911506
666,AZE,1980,0.1490201128
667,BDI,1980,0.009908021462
668,BEL,1980,0.6293660906
669,BEN,1980,0.0128793496
670,BFA,1980,0.01303332287
671,BGD,1980,0.2695011795
